Cores,icc,gcc
1,1127243.02322688,520370.65644024
2,2173261.4674935997,1002024.91650868
4,3728072.86636064,1848367.57622448
6,5307019.45853596,2642628.9930892
8,6929427.33881428,3418391.53102428
10,8521596.79706984,4067953.81510084
12,10750831.21157104,4835648.41627004
14,12395029.65622232,4908239.28937904
16,10095166.658184761,5439130.51752228
18,9049708.54180576,5771058.276534319
20,8542832.98562444,6774167.283267361
22,7676042.4730708,7493192.0949935205
24,7997747.667951001,9175005.00389968
26,8488060.99833744,7893126.86322512
28,8217541.09016556,12194307.166622156
